tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Eletroeletrônico,Graças,Noroeste,Rua Antenor Navarro,81,,-8.0375974,-34.9044994
Eletroeletrônico,São José,Centro,R. Santa Rita,216,,-8.0705413,-34.8807705
Eletroeletrônico,Boa Viagem,Sul,R. Antônio Luís Soares,129,,-8.1405929,-34.9189458
Eletroeletrônico,Recife,Centro,Rua Bione,220 - Cais do Apolo,,-8.0582517,-34.8741831
Eletroeletrônico,Santo Antônio,Centro,Rua da Palma,333,,-8.0658663,-34.8830303
Eletroeletrônico,Boa Viagem,Sul,Shopping Recife,,,-8.1028259,-34.9113759
Eletroeletrônico,Casa Amarela,Noroeste,Rua Padre Lemos,203 Loja 203,,-8.0249844,-34.9203791
Eletroeletrônico,Peixinhos,Norte,Av. Presidente Kennedy,2114,,-8.0125706,-34.8751807
Eletroeletrônico,Santo Antônio,Centro,Rua da Palma,251 Loja,,-8.0650356,-34.8827766
Eletroeletrônico,Pina,Sul,Shopping Rio Mar,,,-8.0862866,-34.8960435
Eletroeletrônico,Casa Forte,Noroeste,Praça de Casa Forte,465,,-8.0347982,-34.9211014
Eletroeletrônico,Ilha do Retiro,Oeste,Rua Tabaiares,360,,-8.0650241,-34.9072055
Eletroeletrônico,Aflitos,Noroeste,Av. Rosa e Silva,1510,,-8.0381858,-34.9018883
Eletroeletrônico,Bongi,Sudoeste,Rua Dona Maria Augusta Nogueira,519,,-8.0651994,-34.9252734
Eletroeletrônico,Macaxeira,Noroeste,Av. Norte Miguel Arraes de Alencar,s/n,,-8.0145811,-34.9337005
Eletroeletrônico,Rosarinho,Norte,R. Regueira Costa,s/n,,-8.0336766,-34.900549
Eletroeletrônico,Pina,Sul,Av. Eng. Domingos Ferreira,2379,,-8.1113807,-34.8947131
Eletroeletrônico,Cidade Universitária,Oeste,Av. professor Luís Freire,500,,-8.0589441,-34.9514295
Eletroeletrônico,Boa Vista,Centro,R. João Fernandes Viêira,s/n,,-8.0534401,-34.8941205
Eletroeletrônico,Madalena,Oeste,R. Benfica,286,,-8.0590808,-34.9036982
Eletroeletrônico,Graças,Noroeste,R. do Futuro,514,,-8.0401792,-34.9026316
Eletroeletrônico,Aflitos,Noroeste,Av. Conselheiro Rosa e Silva,1339,,-8.0399506,-34.9015436
Eletroeletrônico,Zumbi,Oeste,R. Paraguassú,255,,-8.0496016,-34.9195291
